Area,Item,TIME,Consumption,Production
Norway,BEEF,2017,103732.0,85196.0
Norway,BEEF,2018,98218.0,89396.0
Norway,BEEF,2019,97340.0,87008.0
Norway,BEEF,2020,99179.0,86126.0
Ethiopia,PIG,1993,1150.0,1150.0
Ethiopia,PIG,1994,1155.0,1150.0
Ethiopia,PIG,1995,1212.0,1210.0
Ethiopia,PIG,1996,1267.0,1265.0
Ethiopia,PIG,1997,1322.0,1320.0
Ethiopia,PIG,1998,1397.0,1380.0
Ethiopia,PIG,1999,1455.0,1440.0
Ethiopia,PIG,2000,1466.0,1440.0
Ethiopia,PIG,2001,1553.0,1495.0
Ethiopia,PIG,2002,1495.0,1495.0
Ethiopia,PIG,2003,1663.0,1615.0
Ethiopia,PIG,2004,1650.0,1615.0
Ethiopia,PIG,2005,1703.0,1665.0
Ethiopia,PIG,2006,1767.0,1665.0
Ethiopia,PIG,2007,1730.0,1665.0
Ethiopia,PIG,2008,1729.0,1665.0
Ethiopia,PIG,2009,1685.0,1725.0
Ethiopia,PIG,2010,1818.0,1780.0
Ethiopia,PIG,2011,1894.0,1840.0
Ethiopia,PIG,2012,1927.0,1875.0
Ethiopia,PIG,2013,2012.0,1875.0
Ethiopia,PIG,2014,2534.0,1944.0
Ethiopia,PIG,2015,2073.0,1999.0
Ethiopia,PIG,2016,2082.0,2038.0
Ethiopia,PIG,2017,2048.0,2071.0
Ethiopia,PIG,2018,2048.0,2096.0
Ethiopia,PIG,2019,2048.0,2131.0
Ethiopia,PIG,2020,2065.0,2165.0
Kazakhstan,BEEF,1992,593206.0,596200.0
Kazakhstan,BEEF,1993,651306.0,661500.0
Kazakhstan,BEEF,1994,614695.0,641600.0
Kazakhstan,BEEF,1995,515703.0,548200.0
Kazakhstan,BEEF,1996,439578.0,457500.0
Kazakhstan,BEEF,1997,364197.0,398200.0
Kazakhstan,BEEF,1998,344038.0,347900.0
Kazakhstan,BEEF,1999,340692.0,343900.0
Kazakhstan,BEEF,2000,314203.0,306300.0
Kazakhstan,BEEF,2001,299272.0,287600.0
Kazakhstan,BEEF,2002,307269.0,296000.0
Kazakhstan,BEEF,2003,327029.0,311900.0
Kazakhstan,BEEF,2004,346012.0,329700.0
Kazakhstan,BEEF,2005,372991.0,348300.0
Kazakhstan,BEEF,2006,405625.0,366500.0
Kazakhstan,BEEF,2007,436184.0,385900.0
Kazakhstan,BEEF,2008,446587.0,400100.0
Kazakhstan,BEEF,2009,431587.0,396096.0
Kazakhstan,BEEF,2010,433083.0,406817.0
Kazakhstan,BEEF,2011,443084.0,392850.0
Kazakhstan,BEEF,2012,436799.0,373524.0
Kazakhstan,BEEF,2013,450397.0,383468.0
Kazakhstan,BEEF,2014,459140.0,405474.0
Kazakhstan,BEEF,2015,468137.0,416823.0
Kazakhstan,BEEF,2016,472887.0,430600.0
Kazakhstan,BEEF,2017,498161.0,450432.0
Kazakhstan,BEEF,2018,520005.0,477407.0
Kazakhstan,BEEF,2019,523200.00000000006,501249.0
Kazakhstan,BEEF,2020,531866.0,521847.0
South Korea,BEEF,1990,0.0,127792.0
South Korea,BEEF,1991,315039.0,132203.0
South Korea,BEEF,1992,355016.0,174000.0
South Korea,BEEF,1993,335233.0,204000.0
South Korea,BEEF,1994,361695.0,214000.0
South Korea,BEEF,1995,419442.0,221000.0
South Korea,BEEF,1996,438783.0,248000.0
South Korea,BEEF,1997,500749.0,338000.0
South Korea,BEEF,1998,453449.0,375714.0
South Korea,BEEF,1999,542985.0,342429.0
South Korea,BEEF,2000,571881.0,305868.0
South Korea,BEEF,2001,499000.0,232579.0
South Korea,BEEF,2002,571263.0,210804.0
South Korea,BEEF,2003,553643.0,188000.0
South Korea,BEEF,2004,448207.0,186000.0
South Korea,BEEF,2005,415754.0,195000.0
South Korea,BEEF,2006,463704.0,200000.0
South Korea,BEEF,2007,493536.0,219000.0
South Korea,BEEF,2008,505262.0,246000.0
South Korea,BEEF,2009,523328.0,283000.0
South Korea,BEEF,2010,564912.0,247000.0
South Korea,BEEF,2011,627210.0,280000.0
South Korea,BEEF,2012,639583.0,312000.0
South Korea,BEEF,2013,671544.0,344000.0
South Korea,BEEF,2014,713675.0,335000.0
South Korea,BEEF,2015,726628.0,323000.0
South Korea,BEEF,2016,729746.0,277000.0
South Korea,BEEF,2017,762168.0,281000.0
South Korea,BEEF,2018,791703.0,279000.0
South Korea,BEEF,2019,865100.0,286000.0
South Korea,BEEF,2020,867928.0,287000.0
Norway,SHEEP,1990,23308.0,24456.0
Norway,SHEEP,1991,24464.0,22258.0
Norway,SHEEP,1992,25014.0,22828.0
Norway,SHEEP,1993,25447.0,24032.0
Norway,SHEEP,1994,27152.0,24827.0
Norway,SHEEP,1995,27486.0,24857.0
Norway,SHEEP,1996,27734.0,25579.0
Norway,SHEEP,1997,25126.0,24337.0
Norway,SHEEP,1998,23705.0,23129.0
Norway,SHEEP,1999,22917.0,22688.0
Norway,SHEEP,2000,24372.0,23311.0
Norway,SHEEP,2001,25073.0,24313.0
Norway,SHEEP,2002,25463.0,24971.0
Norway,SHEEP,2003,24786.0,24384.0
Norway,SHEEP,2004,26454.0,26133.0
